User Name,Machine Name,Delivery Group,Logon time,Total (sec),Brokering (sec),VM Start (sec),HDX Connection (sec),Authentication (sec),GPOs (sec),Logon scripts (sec),Profile load (sec),Interactive sessions (sec)
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/14/2017 4:02:55 PM,72.304,0.017,n/a,5.856,9.797,1.22,n/a,0.796,24.003
estewart7,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 3:08:17 PM,142.952,0.017,n/a,6.99,24.625,3.473,n/a,0.866,27.103
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 6:59:48 PM,81.749,0.017,n/a,n/a,8.922,2.886,n/a,0.94,35.433
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/13/2017 12:13:31 AM,124.114,0.017,n/a,18.806,15.875,7.97,n/a,1.28,26.02
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 10:38:07 PM,113.561,0.017,n/a,n/a,22.531,1.32,n/a,0.65,24.613
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/13/2017 2:51:38 PM,88.444,0.016,n/a,n/a,18.906,7.516,n/a,0.983,34.113
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 5:38:55 PM,92.221,0.013,n/a,5.183,17.922,1.226,n/a,0.323,35.07
myi12,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 4:57:54 PM,90.262,0.033,n/a,5.463,20.344,1.303,n/a,0.373,28.056
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/11/2017 11:12:58 PM,258.789,0,n/a,13.566,34.234,1.32,n/a,0.213,24.653
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 3:18:22 AM,161.677,0.17,n/a,11.47,14.265,4.973,n/a,2.283,64.96
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 7:09:52 PM,441.766,0,n/a,5.36,18.891,1.33,n/a,0.3,19.31
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 12:50:49 PM,60.728,0,n/a,2.843,9.844,1.313,n/a,0.75,20.286
wchiu0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 9:34:11 PM,90.221,0.016,n/a,5.28,19.015,2.61,n/a,0.78,27.546
